family,Category,rating,id,weights,styles,connotations,character,available_fonts
Roboto,sans-serif,1,roboto,"100,300,400,500,700,900","['italic', 'normal']","modern, clean, universal, open, informal, progressive, simple, minimal, contemporary, futuristic",character1,"Roboto-Medium,Roboto-Light,RobotoMono,RobotoSlab,RobotoCondensed-Bold,RobotoCondensed-Light,Roboto-Regular,Roboto-MediumItalic,RobotoCondensed-Italic,RobotoSerif-ItalicGRAD,RobotoFlexGRADXOPQXTRAYOPQYTASYTDEYTFIYTLCYTUCslnt,RobotoCondensed-BoldItalic,Roboto,RobotoCondensed-Medium,RobotoCondensed-LightItalic,Roboto-ThinItalic,RobotoCondensed-Regular,RobotoCondensed-MediumItalic,Roboto-BoldItalic,RobotoSerifGRAD,Roboto-LightItalic,Roboto-Italic,Roboto-BlackItalic,RobotoMono-Italic,Roboto-Bold,Roboto-Thin,Roboto-Black"
Open Sans,sans-serif,2,open-sans,"300,400,500,600,700,800","['italic', 'normal']","modern, clean, universal, open, informal, progressive, simple, minimal, contemporary, futuristic",character1,"OpenSansHebrewCondensed-Italic,OpenSansHebrew-ExtraBoldItalic,OpenSansHebrew-BoldItalic,OpenSansHebrew-Regular,OpenSansHebrew-ExtraBold,OpenSansHebrewCondensed-ExtraBoldItalic,OpenSansHebrewCondensed-LightItalic,OpenSansHebrewCondensed-Regular,OpenSans-Italic,OpenSansHebrewCondensed-ExtraBold,OpenSansHebrewCondensed-BoldItalic,OpenSansHebrew-Light,OpenSansHebrew-LightItalic,OpenSans,OpenSansHebrewCondensed-Light,OpenSansHebrewCondensed-Bold,OpenSansHebrew-Bold,OpenSansHebrew-Italic"
Noto Sans JP,sans-serif,3,noto-sans-jp,"100,300,400,500,700,900",['normal'],"modern, clean, universal, open, informal, progressive, simple, minimal, contemporary, futuristic",character1,NotoSansJP
Montserrat,sans-serif,4,montserrat,"100,200,300,400,500,600,700,800,900","['italic', 'normal']","modern, clean, universal, open, informal, progressive, simple, minimal, contemporary, futuristic",character1,"MontserratAlternates-Thin,MontserratAlternates-BlackItalic,MontserratAlternates-Bold,MontserratAlternates-ExtraLightItalic,MontserratAlternates-Black,MontserratAlternates-LightItalic,MontserratAlternates-Medium,MontserratAlternates-MediumItalic,MontserratAlternates-Italic,MontserratAlternates-ExtraBoldItalic,MontserratAlternates-BoldItalic,MontserratAlternates-Light,MontserratAlternates-ExtraLight,Montserrat,MontserratSubrayada-Bold,MontserratAlternates-Regular,MontserratAlternates-ThinItalic,MontserratAlternates-SemiBold,Montserrat-Italic,MontserratAlternates-ExtraBold,MontserratSubrayada-Regular,MontserratAlternates-SemiBoldItalic"
Lato,sans-serif,5,lato,"100,300,400,700,900","['italic', 'normal']","modern, clean, universal, open, informal, progressive, simple, minimal, contemporary, futuristic",character1,"Lato-Italic,Lato-LightItalic,Lato-Thin,Lato-Bold,Lato-Black,Lato-ExtraBold,Lato-SemiBoldItalic,Lato-Regular,Lato-BlackItalic,Lato-ExtraLightItalic,Lato-SemiBold,Lato-MediumItalic,Lato-BoldItalic,Lato-ExtraBoldItalic,Lato-Light,Lato-Medium,Lato-ThinItalic,Lato-ExtraLight"
Poppins,sans-serif,6,poppins,"100,200,300,400,500,600,700,800,900","['italic', 'normal']","modern, clean, universal, open, informal, progressive, simple, minimal, contemporary, futuristic",character1,"Poppins-ExtraLight,Poppins-ThinItalic,Poppins-ExtraLightItalic,Poppins-BoldItalic,Poppins-Light,Poppins-Medium,Poppins-SemiBoldItalic,Poppins-ExtraBoldItalic,Poppins-ExtraBold,Poppins-BlackItalic,Poppins-Regular,Poppins-LightItalic,Poppins-Bold,Poppins-Black,Poppins-Thin,Poppins-SemiBold,Poppins-Italic,Poppins-MediumItalic"
Roboto Condensed,sans-serif,7,roboto-condensed,"300,400,700","['italic', 'normal']","modern, clean, universal, open, informal, progressive, simple, minimal, contemporary, futuristic",character1,"RobotoCondensed-Bold,RobotoCondensed-Light,RobotoCondensed-Italic,RobotoCondensed-BoldItalic,RobotoCondensed-Medium,RobotoCondensed-LightItalic,RobotoCondensed-Regular,RobotoCondensed-MediumItalic"
Source Sans Pro,sans-serif,8,source-sans-pro,"200,300,400,600,700,900","['italic', 'normal']","modern, clean, universal, open, informal, progressive, simple, minimal, contemporary, futuristic",character1,"SourceSansPro-BlackItalic,SourceSansPro-SemiBoldItalic,SourceSansPro-Regular,SourceSansPro-Bold,SourceSansPro-LightItalic,SourceSansPro-Light,SourceSansPro-Black,SourceSansPro-ExtraLight,SourceSansPro-BoldItalic,SourceSansPro-SemiBold,SourceSansPro-ExtraLightItalic,SourceSansPro-Italic"
Roboto Mono,monospace,10,roboto-mono,"100,200,300,400,500,600,700","['italic', 'normal']","technical, precise, retro, futuristic, minimal, structured",character5,"RobotoMono,RobotoMono-Italic"
Inter,sans-serif,11,inter,"100,200,300,400,500,600,700,800,900",['normal'],"modern, clean, universal, open, informal, progressive, simple, minimal, contemporary, futuristic",character1,"InterTight-Italic,Interslnt,InterTight"
Oswald,sans-serif,12,oswald,"200,300,400,500,600,700",['normal'],"modern, clean, universal, open, informal, progressive, simple, minimal, contemporary, futuristic",character1,Oswald
Raleway,sans-serif,13,raleway,"100,200,300,400,500,600,700,800,900","['italic', 'normal']","modern, clean, universal, open, informal, progressive, simple, minimal, contemporary, futuristic",character1,"RalewayDots-Regular,Raleway,Raleway-Italic"
