family,Category,rating,id,weights,styles,connotations,character,available_fonts,fam_lower,year,description,keywords,designer
Roboto,sans-serif,1,roboto,"100,300,400,500,700,900","['italic', 'normal']","modern, clean, universal, open, informal, progressive, simple, minimal, contemporary, futuristic",character1,"Roboto-Medium,Roboto-Light,RobotoMono,RobotoSlab,RobotoCondensed-Bold,RobotoCondensed-Light,Roboto-Regular,Roboto-MediumItalic,RobotoCondensed-Italic,RobotoSerif-ItalicGRAD,RobotoFlexGRADXOPQXTRAYOPQYTASYTDEYTFIYTLCYTUCslnt,RobotoCondensed-BoldItalic,Roboto,RobotoCondensed-Medium,RobotoCondensed-LightItalic,Roboto-ThinItalic,RobotoCondensed-Regular,RobotoCondensed-MediumItalic,Roboto-BoldItalic,RobotoSerifGRAD,Roboto-LightItalic,Roboto-Italic,Roboto-BlackItalic,RobotoMono-Italic,Roboto-Bold,Roboto-Thin,Roboto-Black",roboto,2011.0,"
Roboto has a dual nature. 
It has a mechanical skeleton and the forms are largely geometric. 
At the same time, the font features friendly and open curves. 
While some grotesks distort their letterforms to force a rigid rhythm, Roboto doesn’t compromise, allowing letters to be settled into their natural width. 
This makes for a more natural reading rhythm more commonly found in humanist and serif types.


Updated July 2020: Upgraded to a variable font with Weight and Width axes, that closely match the previous static fonts released as two families, this one and a sibling Roboto Condensed family. 


Roboto is part of a superfamily set that includes Roboto Slab and Roboto Mono


To report issues or contribute, see github.com/TypeNetwork/Roboto. This repository also contains further font builds for different platforms.

","{'different', 'natural', 'mechanical', 'variable', 'common'}","['Christian Robertson', 'Paratype', 'Font Bureau']"
Open Sans,sans-serif,2,open-sans,"300,400,500,600,700,800","['italic', 'normal']","modern, clean, universal, open, informal, progressive, simple, minimal, contemporary, futuristic",character1,"OpenSansHebrewCondensed-Italic,OpenSansHebrew-ExtraBoldItalic,OpenSansHebrew-BoldItalic,OpenSansHebrew-Regular,OpenSansHebrew-ExtraBold,OpenSansHebrewCondensed-ExtraBoldItalic,OpenSansHebrewCondensed-LightItalic,OpenSansHebrewCondensed-Regular,OpenSans-Italic,OpenSansHebrewCondensed-ExtraBold,OpenSansHebrewCondensed-BoldItalic,OpenSansHebrew-Light,OpenSansHebrew-LightItalic,OpenSans,OpenSansHebrewCondensed-Light,OpenSansHebrewCondensed-Bold,OpenSansHebrew-Bold,OpenSansHebrew-Italic",opensans,2020.0,"
Open Sans is a humanist sans serif typeface designed by Steve Matteson, Type Director of Ascender Corp.
This version contains the complete 897 character set, which includes the standard ISO Latin 1, Latin CE, Greek and Cyrillic character sets.
Open Sans was designed with an upright stress, open forms and a neutral, yet friendly appearance.
It was optimized for print, web, and mobile interfaces, and has excellent legibility characteristics in its letterforms.


In March 2021, the family has been updated to a variable font family and it also includes Hebrew, and unified and simplified the licensing under OFL.


To contribute, see github.com/googlefonts/opensans

","{'upright', 'neutral', 'characteristic', 'variable', 'complete'}",['Steve Matteson']
Noto Sans JP,sans-serif,3,noto-sans-jp,"100,300,400,500,700,900",['normal'],"modern, clean, universal, open, informal, progressive, simple, minimal, contemporary, futuristic",character1,NotoSansJP,notosansjp,2021.0,"
  Noto is a global font collection for writing in all modern and ancient
  languages. Noto Sans JP is an unmodulated (“sans serif”) design for the
  Japanese language and other languages used in Japan. It covers
  Hiragana, Katakana and Kanji. It also supports
  Latin, Cyrillic, Greek and Hangul. It has multiple weights.

","{'global', 'unmodulated', 'modern'}",['Google']
Montserrat,sans-serif,4,montserrat,"100,200,300,400,500,600,700,800,900","['italic', 'normal']","modern, clean, universal, open, informal, progressive, simple, minimal, contemporary, futuristic",character1,"MontserratAlternates-Thin,MontserratAlternates-BlackItalic,MontserratAlternates-Bold,MontserratAlternates-ExtraLightItalic,MontserratAlternates-Black,MontserratAlternates-LightItalic,MontserratAlternates-Medium,MontserratAlternates-MediumItalic,MontserratAlternates-Italic,MontserratAlternates-ExtraBoldItalic,MontserratAlternates-BoldItalic,MontserratAlternates-Light,MontserratAlternates-ExtraLight,Montserrat,MontserratSubrayada-Bold,MontserratAlternates-Regular,MontserratAlternates-ThinItalic,MontserratAlternates-SemiBold,Montserrat-Italic,MontserratAlternates-ExtraBold,MontserratSubrayada-Regular,MontserratAlternates-SemiBoldItalic",montserrat,2011.0,"
The old posters and signs in the traditional Montserrat neighborhood of Buenos Aires inspired Julieta Ulanovsky to design this typeface and rescue the beauty of urban typography that emerged in the first half of the twentieth century. 
As urban development changes that place, it will never return to its original form and loses forever the designs that are so special and unique. 
The letters that inspired this project have work, dedication, care, color, contrast, light and life, day and night! 
These are the types that make the city look so beautiful.
The Montserrat Project began with the idea to rescue what is in Montserrat and set it free under a libre license, the SIL Open Font License.


This is the normal family, and it has two sister families so far, Alternates and Subrayada. 
Many of the letterforms are special in the Alternates family, while 'Subrayada' means 'Underlined' in Spanish and celebrates a special style of underline that is integrated into the letterforms found in the Montserrat neighborhood.


Updated November 2017: The family was redrawn by Jacques Le Bailly at Baron von Fonthausen over the summer, and the full set of weights were adjusted to make the Regular lighter and better for use in longer texts. 
In fall, Julieta Ulanovsky, Sol Matas, and Juan Pablo del Peral, led the development of Cyrillic support, with consultation with Carolina Giovagnoli, Maria Doreuli, and Alexei Vanyashin.


The Montserrat project is led by Julieta Ulanovsky, a type designer based in Buenos Aires, Argentina. 
To contribute, see github.com/JulietaUla/Montserrat

","{'normal', 'original', 'special', 'traditional'}","['Julieta Ulanovsky', 'Sol Matas', 'Juan Pablo del Peral', 'Jacques Le Bailly']"
Lato,sans-serif,5,lato,"100,300,400,700,900","['italic', 'normal']","modern, clean, universal, open, informal, progressive, simple, minimal, contemporary, futuristic",character1,"Lato-Italic,Lato-LightItalic,Lato-Thin,Lato-Bold,Lato-Black,Lato-ExtraBold,Lato-SemiBoldItalic,Lato-Regular,Lato-BlackItalic,Lato-ExtraLightItalic,Lato-SemiBold,Lato-MediumItalic,Lato-BoldItalic,Lato-ExtraBoldItalic,Lato-Light,Lato-Medium,Lato-ThinItalic,Lato-ExtraLight",lato,2015.0,"
Lato means “Summer” in Polish, and it is a sans serif typeface family started in the summer of 2010 by Warsaw-based designer Łukasz Dziedzic.
Originally conceived as part of a corporate identity for a large client, the family became available for a public release when they decided to go in different stylistic direction. 


Łukasz tried to carefully balance some potentially conflicting priorities in the design; 
to create a typeface that seems “transparent” when used in body text but also displays original traits in larger size use. 
Classical proportions, particularly in the uppercase, give the letterforms familiar harmony and elegance, and combine with a sleek treatement that feels contemporary without being trendy. 
Semi-rounded details feel warm, while the underlying structure provides stability and seriousness. 
“Serious but friendly, with the feeling of the Summer,” said Łukasz. 


Learn more at latofonts.com

","{'different', 'particular', 'corporate', 'original', 'larger', 'contemporary', 'stylistic', 'available'}",['Łukasz Dziedzic']
Poppins,sans-serif,6,poppins,"100,200,300,400,500,600,700,800,900","['italic', 'normal']","modern, clean, universal, open, informal, progressive, simple, minimal, contemporary, futuristic",character1,"Poppins-ExtraLight,Poppins-ThinItalic,Poppins-ExtraLightItalic,Poppins-BoldItalic,Poppins-Light,Poppins-Medium,Poppins-SemiBoldItalic,Poppins-ExtraBoldItalic,Poppins-ExtraBold,Poppins-BlackItalic,Poppins-Regular,Poppins-LightItalic,Poppins-Bold,Poppins-Black,Poppins-Thin,Poppins-SemiBold,Poppins-Italic,Poppins-MediumItalic",poppins,2020.0,"
Geometric sans serif typefaces have been a popular design tool ever since these actors took to the world’s stage.
Poppins is one of the new comers to this long tradition. 
With support for the Devanagari and Latin writing systems, it is an internationalist take on the genre.


Many of the Latin glyphs (such as the ampersand) are more constructed and rationalist than is typical. 
The Devanagari design is particularly new, and is the first ever Devanagari typeface with a range of weights in this genre.
Just like the Latin, the Devanagari is based on pure geometry, particularly circles.


Each letterform is nearly monolinear, with optical corrections applied to stroke joints where necessary to maintain an even typographic color. 
The Devanagari base character height and the Latin ascender height are equal; Latin capital letters are shorter than the Devanagari characters, and the Latin x-height is set rather high.


The Devanagari is designed by Ninad Kale.
The Latin is by Jonny Pinhorn.
To contribute, see github.com/itfoundry/poppins

","{'particular', 'international', 'popular', 'typographic', 'typical', 'national', 'optical', 'graphic'}","['Indian Type Foundry', 'Jonny Pinhorn']"
Roboto Condensed,sans-serif,7,roboto-condensed,"300,400,700","['italic', 'normal']","modern, clean, universal, open, informal, progressive, simple, minimal, contemporary, futuristic",character1,"RobotoCondensed-Bold,RobotoCondensed-Light,RobotoCondensed-Italic,RobotoCondensed-BoldItalic,RobotoCondensed-Medium,RobotoCondensed-LightItalic,RobotoCondensed-Regular,RobotoCondensed-MediumItalic",robotocondensed,2023.0,,set(),
Source Sans Pro,sans-serif,8,source-sans-pro,"200,300,400,600,700,900","['italic', 'normal']","modern, clean, universal, open, informal, progressive, simple, minimal, contemporary, futuristic",character1,"SourceSansPro-BlackItalic,SourceSansPro-SemiBoldItalic,SourceSansPro-Regular,SourceSansPro-Bold,SourceSansPro-LightItalic,SourceSansPro-Light,SourceSansPro-Black,SourceSansPro-ExtraLight,SourceSansPro-BoldItalic,SourceSansPro-SemiBold,SourceSansPro-ExtraLightItalic,SourceSansPro-Italic",sourcesanspro,2018.0,"Source® Sans Pro, Adobe's first open source typeface family, was designed by Paul D. Hunt. It is a sans serif typeface intended to work well in user interfaces.",set(),['Paul D. Hunt']
Roboto Mono,monospace,10,roboto-mono,"100,200,300,400,500,600,700","['italic', 'normal']","technical, precise, retro, futuristic, minimal, structured",character5,"RobotoMono,RobotoMono-Italic",robotomono,2015.0,"
Roboto Mono is a monospaced addition to the Roboto type family. 
Like the other members of the Roboto family, the fonts are optimized for readability on screens across a wide variety of devices and reading environments. 
While the monospaced version is related to its variable width cousin, it doesn’t hesitate to change forms to better fit the constraints of a monospaced environment. 
For example, narrow glyphs like ‘I’, ‘l’ and ‘i’ have added serifs for more even texture while wider glyphs are adjusted for weight. 
Curved caps like ‘C’ and ‘O’ take on the straighter sides from Roboto Condensed.


Special consideration is given to glyphs important for reading and writing software source code. 
Letters with similar shapes are easy to tell apart. 
Digit ‘1’, lowercase ‘l’ and capital ‘I’ are easily differentiated as are zero and the letter ‘O’. 
Punctuation important for code has also been considered. 
For example, the curly braces ‘{ }’ have exaggerated points to clearly differentiate them from parenthesis ‘( )’ and braces ‘[ ]’. 
Periods and commas are also exaggerated to identify them more quickly. 
The scale and weight of symbols commonly used as operators have also been optimized.

","{'different', 'important', 'similar', 'related', 'variable', 'common'}",['Christian Robertson']
Inter,sans-serif,11,inter,"100,200,300,400,500,600,700,800,900",['normal'],"modern, clean, universal, open, informal, progressive, simple, minimal, contemporary, futuristic",character1,"InterTight-Italic,Interslnt,InterTight",inter,2020.0,"
  Inter is a variable font family carefully crafted & designed for computer screens.


  Inter features a tall x-height to aid in readability of mixed-case and lower-case text. Several OpenType features are provided as well, like
  contextual alternates that adjusts punctuation depending on the shape of surrounding glyphs, slashed zero for when you need to disambiguate ""0"" from
  ""o"", tabular numbers, etc.


  The Inter project is led by Rasmus Andersson, a Swedish maker–of–software living in San Francisco. To contribute, see
  github.com/rsms/inter

",{'variable'},['Rasmus Andersson']
